Metric,Mean_5m,Mean_10m,Mean_30m,Mean_60m,MAE_10m,MAE_30m,MAE_60m,MAPE_10m,MAPE_30m,MAPE_60m,RMSE_10m,RMSE_30m,RMSE_60m,KS_10m,KS_pvalue_10m,KS_30m,KS_pvalue_30m,KS_60m,KS_pvalue_60m
duration,851.4914673794848,856.5187073472208,876.7199445014907,907.349588303469,5.027239967735985,25.228477122005874,55.85812092398411,0.010768415024102418,0.05463781142269616,0.12272154431520128,6.144326719630924,27.96730730720421,60.95461183260736,0.011556683633720852,1.6879662217937936e-21,0.056811643675344733,0.0,0.12433482999452172,0.0
I30,0.06686780271602605,0.06578798769270458,0.059590913660741394,0.08239814867325258,0.0010798150233216732,0.0072768890552865366,0.01855099604591474,0.016301904530772838,0.10054032277456522,0.3314710204915478,0.003550324296816477,0.01873144287997913,0.039908188064636904,0.009117612242706907,1.5260844548766484e-13,0.05759622081579502,0.0,0.13701194484285056,0.0
time_to_peak,408.50068684911065,409.7008971708424,400.84871976280994,393.68462201275696,56.915951141490915,109.2321880342351,141.21469058755193,,,,223.17107362885167,310.82869325305575,350.08920685064714,0.03794325167307635,1.2429097257430603e-227,0.0790550938326731,0.0,0.11927774856642614,0.0
peak_position_ratio,0.4745742624141123,0.472103588674178,0.4458354736981059,0.41668954005023645,0.06468538665139972,0.1277103557165558,0.16964457240867833,,,,0.18318093568562935,0.25198000305404594,0.28471430875448134,0.022180133405642843,4.739014877992571e-78,0.07478534244727508,0.0,0.12249313839114884,0.0
third_ppr,0.9419495503134179,0.9373081571246487,0.878228121997616,0.8047504081177581,0.15351284091253203,0.3000966268688765,0.40186316424090096,,,,0.505456077174957,0.7026241619041904,0.7976429338733079,0.005629685095511872,1.99287468289461e-05,0.0427250428764524,1.5681245606803753e-288,0.09847681918662743,0.0
std,0.10788317685409092,0.1935405557469179,0.46497503953953095,0.7759239876702287,0.0856578014104038,0.35709254451683997,0.6680458224423054,0.813704613826058,3.5238034572398464,6.808361952655961,0.13910103464474155,0.564701666829752,1.0456156953747313,0.33308740739925063,0.0,0.6998785970108987,0.0,0.8215761466526086,0.0
max_intensity,0.7126160441895617,1.034347556661618,1.7877274098218305,2.471944460197171,0.3217315124720237,1.0751113656322178,1.7593284160075764,0.5436178041191484,2.0077819675076034,3.48928988921041,0.6189341756884802,1.9162983901886572,3.0587059357372914,0.2228199078878908,0.0,0.5048382256994437,0.0,0.6202481466085621,0.0
mean_intensity,0.06311001922936453,0.12455896958802512,0.3552686104933303,0.663106350793047,0.061448950358664954,0.29215859126395877,0.5999963315636813,0.9789823855496689,4.7026696168558395,9.792908584565572,0.11689400571718309,0.5592799792396687,1.154956326483913,0.3365835932531872,0.0,0.7306918318637423,0.0,0.8688655014549088,0.0
min_intensity,0.0034994205140771333,0.006414408139782019,0.019994836105965502,0.053529867888227355,0.002914987625704398,0.01649541559188774,0.050030447374144194,,,,0.04766546124800029,0.22541835557718357,0.536939944383515,0.07587273883491674,0.0,0.14193963986532798,0.0,0.22624176538115304,0.0
cv,2.0414291118737884,1.8250318830043677,1.4939327346435487,1.299353605301532,0.21869628837940006,0.5573397801301196,0.7673852654524448,0.08735192540911096,0.22327750801023696,0.3154810507989135,0.36680331833000457,0.8474503659338994,1.119326283201261,0.06825270541468342,0.0,0.20627771828450148,0.0,0.3169196125014797,0.0
skewness,3.1863797841709194,2.6090143268104864,1.8070587138531828,1.3799473566998708,0.6149635234468167,1.4108853221238495,1.8547236084857155,,,,0.9562376803689419,1.984050773635758,2.506134554421257,0.10167293869561989,0.0,0.2842426628272857,0.0,0.40384525385888076,0.0
kurtosis,17.739732733989396,11.065913446054326,4.681859346161159,2.46640360793144,7.15762253409691,13.299673839989577,15.56637824832042,,,,15.906246715119421,26.862452098875824,30.131002186247457,0.11019317115068561,0.0,0.30318263028798115,0.0,0.4208747071600235,0.0
relative_amp,14.746657677459963,10.53997052370921,6.0587721570947615,4.270349324762745,4.217930332312497,8.691604579154191,10.481012225372337,0.223967751859054,0.4763431831341983,0.5908058917738638,7.791703447507082,14.585935868308272,17.007846944314885,0.11841333726080716,0.0,0.33995865140824716,0.0,0.4898431671589774,0.0
peak_mean_ratio,14.784968745298173,10.575182499176348,6.096641074245242,4.327965332407773,4.2175886928319795,8.68982063930772,10.459390361486012,0.22140169978907742,0.4716375474553151,0.5806936888370167,7.791789229540712,14.58551934442279,17.003016947791906,0.11846839530575115,0.0,0.34030001128689924,0.0,0.4907406132915626,0.0
PCI,5.420899375004491,8.630642859144498,17.082890003931237,25.284671943740527,3.2097434841398167,11.661990628927027,19.86377256873632,0.7288647635145762,3.014745505951257,5.614020465308425,4.43330819214709,14.014505972408974,22.72335525069597,0.2761298599048046,0.0,0.6178338513377728,0.0,0.7630824797042282,0.0
TCI,0.33578689160647585,0.3369217833920204,0.33166146632846155,0.31031353673254775,0.0057825256634525994,0.02381204696467187,0.04989006789224262,,,,0.008855907565792789,0.036631413857151476,0.07570672843109828,0.00716855745169348,1.5557943630099383e-08,0.019683251067437846,1.4783245903883051e-61,0.05889008487197622,0.0
asymm_d,-0.1026438717209188,-0.050688670063901806,0.027720475652691208,0.06942169358789985,0.31191477438176607,0.5878931836636557,0.7405178668529805,,,,0.4303370868438401,0.7859934650184003,0.9747036674192808,0.057029122952873074,0.0,0.08821399960908788,0.0,0.12255645514283431,0.0
event_loading_ghanghas,-16.102473092573135,-15.905581177569013,-16.725625820692713,-17.88069003624414,10.535656360150046,19.189497570184336,24.87224857417498,,,,23.25282138308755,32.722079549041915,38.14942812098142,0.015088657216870915,2.3901706865690043e-36,0.038879238437122265,5.535368559230082e-239,0.056866701720288626,0.0
NRMSE_P,0.10134399440611509,0.14044602522208688,0.21947334227109716,0.27727099294430524,0.03994579535475276,0.11919995154892046,0.17763864303942434,,,,0.05680835360265612,0.14637380730009525,0.20864812924780404,0.1869716148249292,0.0,0.46642147483984997,0.0,0.6088648958164145,0.0
skewp,0.009390584794687528,0.008075833882019453,0.012033144903026647,0.01577537472692607,0.03038171982823462,0.06077229295028551,0.08444507450912703,,,,0.0838902154806075,0.11871583295483054,0.14070073607391326,0.017712173058446967,6.315318016146427e-50,0.057951345205683125,0.0,0.09688013588325495,0.0
gini,0.6919327120999332,0.672455532666873,0.6236140597255561,0.5734744478079354,0.02060558506281108,0.07222006702140618,0.1264432282647623,0.03156746785319189,0.10818532016669236,0.18759101868873404,0.031986147442303686,0.09461120514735821,0.15606176395487112,0.055005739801185394,0.0,0.18471974078672437,0.0,0.30591901512169206,0.0
lorentz_asymetry,0.7298951113012813,0.725322300650803,0.7418986057968918,0.7840077654102688,0.027714591527694864,0.0624939721392299,0.10317735683731429,0.04018129676263923,0.09095517659013369,0.15434571812709139,0.0453025613141309,0.08835042437149958,0.13999255397817476,0.03381665120453248,6.894859160369505e-181,0.07751071567199722,0.0,0.1812070375193047,0.0
intermittency,0.05145273117019131,0.07289041613179009,0.14365780659865704,0.19022916919771493,0.028606560633308045,0.11002988181212939,0.16856145600788475,0.6930585530594932,3.2056985872651493,5.351472260108657,0.04245412524500333,0.13812702665447046,0.21296983081639542,0.3544636933487129,0.0,0.6071030383782102,0.0,0.5674695047253567,0.0
event_dry_ratio,48.08706190706666,45.154660523975544,37.469103510046345,29.166708177833076,2.932401383090932,10.617958397019652,18.920353729230055,0.05377233631025616,0.19566772066018503,0.35458122700055356,5.102128042421786,15.18279730410782,24.47376779545827,0.05949297046411184,0.0,0.19683251067437846,0.0,0.3233063457149701,0.0
ni,14.784968745298173,10.575182499176348,6.096641074245242,4.327965332407773,4.2175886928319795,8.68982063930772,10.459390361486012,0.22140169978907742,0.4716375474553151,0.5806936888370167,7.791789229540712,14.58551934442279,17.003016947791906,0.11846839530575115,0.0,0.34030001128689924,0.0,0.4907406132915626,0.0
time_skewness,0.13706719489015237,0.13691849615537116,0.135609293484488,0.1320897586457478,0.003923547117818291,0.023015946729561226,0.06725843913936269,,,,0.009711010708250204,0.05693504938591603,0.1557178964911603,0.000360630194382483,1.0,0.002524411360677048,0.19703490036067617,0.0075457050595589825,2.071815821626797e-09
